Pearson Correlation,ID OOD Alignment,Percentage OOD retained,Stem,Spatial Reduction,CNN vs ViT,Augmentations,Resolution,ID Class Count,OverParam. Level,Depth
0.84,0.176,55.16,7,0.25,CNN,2,224,100,168.3650514,34
0.87,0.465,74.16,7,0.25,CNN,2,224,100,168.3650514,34
0.94,0.419,84.84,7,0.25,CNN,2,224,100,168.3650514,34
0.99,0.522,91.99,7,0.25,CNN,2,224,100,168.3650514,34
0.94,0.599,96.4,7,0.25,CNN,2,224,100,168.3650514,34
0.94,0.163,96.05,8,1,Transformer,0,32,100,44.28166613,12
0.97,0.038,89.02,8,1,Transformer,0,32,100,44.28166613,12
0.97,0.074,92.62,8,1,Transformer,0,32,100,44.28166613,12
0.96,0.037,92.49,8,1,Transformer,0,32,100,44.28166613,12
0.94,0.136,96.17,8,1,Transformer,0,32,100,44.28166613,12
0.97,0.137,99.42,8,1,Transformer,0,32,100,44.28166613,12
0.99,0.086,97.36,8,1,Transformer,0,32,100,44.28166613,12
0.96,0.179,98.9,8,1,Transformer,0,32,100,44.28166613,12
0.75,0.326,83.22,8,1,Transformer,0,224,100,44.28166613,12
0.70,0.066,60.76,8,1,Transformer,0,224,100,44.28166613,12
0.53,0.097,43.17,8,1,Transformer,0,224,100,44.28166613,12
0.55,0.050,42.42,8,1,Transformer,0,224,100,44.28166613,12
0.40,0.157,40.91,8,1,Transformer,0,224,100,44.28166613,12
0.61,0.198,76.2,8,1,Transformer,0,224,100,44.28166613,12
0.90,0.230,74.85,8,1,Transformer,0,224,100,44.28166613,12
0.83,0.341,86.91,8,1,Transformer,0,224,100,44.28166613,12
0.96,0.165,97.48,8,1,Transformer,2,32,100,44.28166613,12
0.99,0.038,97.18,8,1,Transformer,2,32,100,44.28166613,12
0.99,0.075,94.26,8,1,Transformer,2,32,100,44.28166613,12
0.95,0.034,90.75,8,1,Transformer,2,32,100,44.28166613,12
0.97,0.140,91.76,8,1,Transformer,2,32,100,44.28166613,12
0.99,0.136,98.82,8,1,Transformer,2,32,100,44.28166613,12
0.99,0.077,97.86,8,1,Transformer,2,32,100,44.28166613,12
0.99,0.173,98.87,8,1,Transformer,2,32,100,44.28166613,12
0.95,0.393,95.5,8,1,Transformer,2,224,100,44.28166613,12
0.99,0.102,93.23,8,1,Transformer,2,224,100,44.28166613,12
0.98,0.210,89.38,8,1,Transformer,2,224,100,44.28166613,12
0.98,0.097,87.25,8,1,Transformer,2,224,100,44.28166613,12
0.98,0.361,90.52,8,1,Transformer,2,224,100,44.28166613,12
0.95,0.256,96.19,8,1,Transformer,2,224,100,44.28166613,12
0.99,0.293,95.88,8,1,Transformer,2,224,100,44.28166613,12
0.98,0.388,98.23,8,1,Transformer,2,224,100,44.28166613,12
0.95,0.156,95.15,8,1,Transformer,0,32,100,66.22516556,18
0.95,0.035,87.93,8,1,Transformer,0,32,100,66.22516556,18
0.93,0.064,87.66,8,1,Transformer,0,32,100,66.22516556,18
0.87,0.035,87.98,8,1,Transformer,0,32,100,66.22516556,18
0.88,0.120,90.52,8,1,Transformer,0,32,100,66.22516556,18
0.97,0.127,97.21,8,1,Transformer,0,32,100,66.22516556,18
0.97,0.077,91.83,8,1,Transformer,0,32,100,66.22516556,18
0.95,0.173,97.57,8,1,Transformer,0,32,100,66.22516556,18
0.68,0.287,76.18,8,1,Transformer,0,224,100,66.22516556,18
0.59,0.048,50.88,8,1,Transformer,0,224,100,66.22516556,18
0.46,0.067,32.23,8,1,Transformer,0,224,100,66.22516556,18
0.47,0.036,32.87,8,1,Transformer,0,224,100,66.22516556,18
0.42,0.122,34.69,8,1,Transformer,0,224,100,66.22516556,18
0.62,0.171,68.72,8,1,Transformer,0,224,100,66.22516556,18
0.83,0.182,65.73,8,1,Transformer,0,224,100,66.22516556,18
0.74,0.292,81.07,8,1,Transformer,0,224,100,66.22516556,18
0.96,0.209,97.55,8,1,Transformer,2,32,100,66.22516556,18
0.99,0.051,96.36,8,1,Transformer,2,32,100,66.22516556,18
0.98,0.094,91.02,8,1,Transformer,2,32,100,66.22516556,18
0.96,0.042,88.05,8,1,Transformer,2,32,100,66.22516556,18
0.97,0.166,88.75,8,1,Transformer,2,32,100,66.22516556,18
0.99,0.173,98.14,8,1,Transformer,2,32,100,66.22516556,18
1.00,0.109,97.44,8,1,Transformer,2,32,100,66.22516556,18
0.99,0.217,99.14,8,1,Transformer,2,32,100,66.22516556,18
0.97,0.486,98.37,8,1,Transformer,2,224,100,66.22516556,18
0.98,0.126,89.52,8,1,Transformer,2,224,100,66.22516556,18
0.98,0.257,87.49,8,1,Transformer,2,224,100,66.22516556,18
0.98,0.125,87.97,8,1,Transformer,2,224,100,66.22516556,18
0.96,0.437,89.13,8,1,Transformer,2,224,100,66.22516556,18
0.94,0.323,95.56,8,1,Transformer,2,224,100,66.22516556,18
0.99,0.403,97.35,8,1,Transformer,2,224,100,66.22516556,18
0.98,0.477,99.03,8,1,Transformer,2,224,100,66.22516556,18
